cv_seed,fold_index,run_seed,output_root,train_count,val_count,best_epoch,best_monitor_loss,val_total_loss,val_os_loss,val_rec_loss,val_loc_loss,val_c_index,val_rec_auc,val_loc_acc,val_os_known_count,val_rec_known_count,val_loc_known_count
2024,1,202401,output/stage12/12.1_primary_outputs_cv/cv_runs/seed_2024/fold_01,137,74,36,2.6295149326324463,2.6295149326324463,1.045976161956787,1.052588939666748,1.0539379119873047,0.5876383763837638,0.6349056603773585,0.5,74,73,20
2024,2,202402,output/stage12/12.1_primary_outputs_cv/cv_runs/seed_2024/fold_02,141,70,44,2.591914176940918,2.591914176940918,0.978577733039856,1.0010989904403687,1.1015262603759766,0.6235662148070907,0.6698717948717948,0.3333333333333333,70,70,18
2024,3,202403,output/stage12/12.1_primary_outputs_cv/cv_runs/seed_2024/fold_03,144,67,25,2.61401629447937,2.61401629447937,1.0761710405349731,0.9683875441551208,1.1075432300567627,0.5343082114735658,0.5674019607843137,0.3125,67,67,16
2025,1,202501,output/stage12/12.1_primary_outputs_cv/cv_runs/seed_2025/fold_01,137,74,18,2.756281852722168,2.756281852722168,1.1187150478363037,1.0578029155731201,1.139121413230896,0.5589198036006546,0.6273584905660378,0.25,74,73,20
2025,2,202502,output/stage12/12.1_primary_outputs_cv/cv_runs/seed_2025/fold_02,141,70,22,2.619877815246582,2.619877815246582,1.0382121801376343,1.0186549425125122,1.082116723060608,0.4386138613861386,0.561965811965812,0.3333333333333333,70,70,18
2025,3,202503,output/stage12/12.1_primary_outputs_cv/cv_runs/seed_2025/fold_03,144,67,24,2.518524169921875,2.518524169921875,0.8598346710205078,1.0049355030059814,1.0836713314056396,0.5387755102040817,0.4963235294117647,0.5625,67,67,16
2026,1,202601,output/stage12/12.1_primary_outputs_cv/cv_runs/seed_2026/fold_01,137,74,20,2.637023448944092,2.637023448944092,0.9405723810195923,1.0948805809020996,1.0718568563461304,0.4749034749034749,0.4849056603773585,0.25,74,73,20
2026,2,202602,output/stage12/12.1_primary_outputs_cv/cv_runs/seed_2026/fold_02,141,70,55,2.5921108722686768,2.5921108722686768,1.0714926719665527,1.0240155458450317,1.0323489904403687,0.5860696517412936,0.5811965811965812,0.3888888888888889,70,70,18
2026,3,202603,output/stage12/12.1_primary_outputs_cv/cv_runs/seed_2026/fold_03,144,67,50,2.413550615310669,2.413550615310669,1.022779941558838,0.9770604372024536,0.9251002669334412,0.47729789590254706,0.5612745098039216,0.5,67,67,16
